Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z
SPLUS-d456,131.3,-48.63,20.859,20.073,20.037,21.039,21.167,23.558,21.458,23.541,21.045,23.331,21.599,22.794
SPLUS-d457,133.41,-48.63,20.776,20.015,20.002,21.006,21.138,23.487,21.418,23.491,20.961,23.28,21.565,22.694
SPLUS-d466,130.12,-49.98,20.693,19.875,19.847,20.819,20.937,23.341,21.281,23.411,20.944,23.244,21.532,22.684
SPLUS-d467,132.29,-49.98,20.669,19.876,19.847,20.88,21.029,23.407,21.35,23.452,20.966,23.245,21.537,22.664
SPLUS-d468,134.46,-49.98,20.694,19.917,19.887,20.883,21.017,23.373,21.306,23.44,20.957,23.207,21.505,22.615
SPLUS-d477,131.93,-51.33,20.701,19.905,19.891,20.917,21.046,23.446,21.374,23.499,21.013,23.313,21.586,22.782
SPLUS-d478,134.16,-51.33,20.747,19.942,19.93,20.926,21.072,23.443,21.375,23.453,20.974,23.244,21.54,22.665
SPLUS-d487,132.99,-52.67,20.675,19.88,19.783,20.835,21.039,23.455,21.397,23.488,21.023,23.283,21.594,22.743
SPLUS-d504,134.7,-55.35,20.614,19.837,19.742,20.862,21.018,23.416,21.374,23.476,21.0,23.276,21.563,22.701
SPLUS-d510,131.83,-56.68,20.724,19.922,19.831,20.946,21.079,23.471,21.412,23.533,21.042,23.329,21.6,22.78
SPLUS-d511,134.37,-56.68,20.647,19.85,19.758,20.845,20.985,23.378,21.34,23.424,20.969,23.216,21.529,22.588
SPLUS-d517,134.02,-58.01,20.629,19.855,19.752,20.893,21.053,23.488,21.424,23.523,21.034,23.321,21.59,22.766
SPLUS-d522,132.63,-59.33,20.715,19.913,19.822,20.972,21.111,23.511,21.465,23.556,21.066,23.343,21.618,22.787
SPLUS-n01s01,150.79,0.0,20.798,20.017,20.004,21.063,21.226,23.552,21.495,23.5,21.014,23.296,21.565,22.706
SPLUS-n01s18,173.89,0.0,20.619,19.889,19.925,20.951,21.085,23.456,21.401,23.496,21.029,23.305,21.597,22.715
SPLUS-n01s19,175.25,0.0,20.704,19.937,19.959,20.985,21.129,23.487,21.429,23.512,21.041,23.305,21.593,22.721
SPLUS-n01s20,176.6,0.0,20.764,19.987,20.017,21.009,21.121,23.485,21.423,23.487,21.018,23.293,21.581,22.722
SPLUS-n01s21,177.96,0.0,20.743,19.945,19.949,20.97,21.102,23.464,21.421,23.5,21.013,23.302,21.581,22.729
SPLUS-n01s22,179.32,0.0,20.663,19.848,19.855,20.875,21.018,23.399,21.35,23.446,20.963,23.258,21.555,22.647
SPLUS-n01s23,180.68,0.0,20.785,19.999,20.024,21.013,21.163,23.505,21.454,23.503,21.018,23.306,21.584,22.725
SPLUS-n01s24,182.04,0.0,20.757,19.971,19.975,20.983,21.11,23.462,21.402,23.493,21.018,23.292,21.579,22.699
SPLUS-n01s25,183.4,0.0,20.761,19.972,19.998,21.007,21.124,23.477,21.419,23.497,21.003,23.297,21.585,22.705
SPLUS-n01s26,184.75,0.0,20.752,19.965,19.971,20.987,21.123,23.488,21.43,23.506,21.023,23.314,21.588,22.736
SPLUS-n01s27,186.11,0.0,20.675,19.951,19.937,20.885,21.05,23.409,21.349,23.496,21.016,23.324,21.604,22.761
SPLUS-n01s28,187.47,0.0,20.735,19.964,19.967,20.966,21.099,23.437,21.377,23.473,20.985,23.27,21.549,22.693
SPLUS-n01s37,199.7,0.0,20.814,20.016,20.013,21.029,21.137,23.506,21.45,23.55,21.066,23.358,21.624,22.801
SPLUS-n01s38,201.06,0.0,20.798,19.994,19.964,20.99,21.126,23.476,21.43,23.531,21.057,23.351,21.622,22.805
SPLUS-n02n01,150.79,1.36,20.725,19.951,19.976,21.001,21.134,23.492,21.431,23.511,21.031,23.31,21.589,22.724
SPLUS-n02n18,173.89,1.36,20.682,19.944,19.99,20.998,21.137,23.497,21.434,23.517,21.042,23.313,21.594,22.731
SPLUS-n02n19,175.25,1.36,20.559,19.791,19.807,20.802,20.91,23.278,21.216,23.397,20.951,23.249,21.553,22.661
SPLUS-n02n20,176.6,1.36,20.766,19.969,20.002,21.011,21.139,23.497,21.445,23.525,21.035,23.32,21.588,22.746
SPLUS-n02n21,177.96,1.36,20.565,19.782,19.754,20.73,20.85,23.22,21.184,23.366,20.913,23.231,21.537,22.649
SPLUS-n02n22,179.32,1.36,20.748,19.96,19.962,20.965,21.092,23.451,21.4,23.493,21.012,23.304,21.578,22.722
SPLUS-n02n23,180.68,1.36,20.69,19.911,19.912,20.92,21.057,23.429,21.378,23.474,20.991,23.275,21.561,22.676
SPLUS-n02n24,182.04,1.36,20.592,19.828,19.846,20.84,20.95,23.311,21.253,23.427,20.958,23.262,21.555,22.678
SPLUS-n02n25,183.4,1.36,20.696,19.928,19.944,20.937,21.084,23.451,21.403,23.49,21.018,23.304,21.578,22.726
SPLUS-n02n26,184.75,1.36,20.682,19.912,19.897,20.91,21.039,23.412,21.373,23.471,20.993,23.285,21.576,22.701
SPLUS-n02n27,186.11,1.36,20.711,19.94,19.929,20.926,21.053,23.412,21.365,23.471,20.996,23.286,21.577,22.702
SPLUS-n02n28,187.47,1.36,20.718,19.936,19.951,20.951,21.083,23.448,21.404,23.497,21.016,23.311,21.59,22.738
SPLUS-n02n44,209.21,1.36,20.754,19.942,19.928,20.968,21.109,23.481,21.434,23.525,21.034,23.332,21.601,22.761
SPLUS-n02s18,173.89,-1.36,20.702,19.956,19.985,20.985,21.122,23.472,21.425,23.513,21.04,23.323,21.599,22.744
SPLUS-n02s19,175.25,-1.36,20.723,19.973,20.013,21.001,21.129,23.485,21.43,23.516,21.038,23.315,21.598,22.73
SPLUS-n02s20,176.6,-1.36,20.726,19.975,20.012,21.018,21.154,23.492,21.434,23.513,21.029,23.317,21.607,22.733
SPLUS-n02s21,177.96,-1.36,20.725,19.966,19.994,20.988,21.127,23.492,21.427,23.503,21.027,23.292,21.583,22.693
SPLUS-n02s22,179.32,-1.36,20.736,19.979,19.984,20.987,21.112,23.458,21.405,23.502,21.015,23.301,21.585,22.725
SPLUS-n02s23,180.68,-1.36,20.741,19.996,19.97,20.988,21.108,23.472,21.419,23.498,21.013,23.289,21.577,22.69
SPLUS-n02s24,182.04,-1.36,20.624,19.845,19.856,20.848,20.949,23.313,21.254,23.424,20.973,23.263,21.559,22.684
SPLUS-n02s25,183.4,-1.36,20.771,19.977,20.004,21.014,21.142,23.493,21.443,23.515,21.035,23.319,21.594,22.744
SPLUS-n02s26,184.75,-1.36,20.748,19.965,19.97,20.965,21.096,23.456,21.394,23.498,21.017,23.3,21.583,22.711
SPLUS-n02s27,186.11,-1.36,20.761,19.976,19.97,20.975,21.106,23.454,21.407,23.486,21.01,23.287,21.566,22.725
SPLUS-n02s28,187.47,-1.36,20.798,20.001,20.013,21.023,21.145,23.493,21.438,23.517,21.038,23.315,21.598,22.728
SPLUS-n02s37,199.7,-1.36,20.781,19.982,19.979,20.997,21.122,23.492,21.445,23.541,21.055,23.356,21.624,22.809
SPLUS-n02s38,201.06,-1.36,20.798,19.998,20.002,21.025,21.153,23.514,21.462,23.551,21.067,23.357,21.645,22.802
SPLUS-n02s44,209.21,-1.36,20.746,19.952,19.909,20.912,21.02,23.407,21.368,23.495,21.01,23.31,21.595,22.734
SPLUS-n03n01,150.79,2.72,20.758,19.986,20.011,21.013,21.138,23.518,21.459,23.549,21.073,23.353,21.626,22.788
