Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z
SPLUS-n15s15,170.0,-18.9,20.828,20.024,20.033,21.032,21.163,23.521,21.473,23.562,21.074,23.373,21.634,22.837
SPLUS-n15s16,171.43,-18.9,20.805,19.991,20.005,20.984,21.099,23.449,21.401,23.513,21.041,23.337,21.606,22.809
SPLUS-n15s17,172.86,-18.9,20.863,20.037,20.021,21.037,21.164,23.519,21.464,23.537,21.054,23.339,21.614,22.775
SPLUS-n15s18,174.29,-18.9,20.869,20.04,20.031,21.05,21.163,23.495,21.451,23.512,20.985,23.309,21.447,22.742
SPLUS-n15s19,175.71,-18.9,20.859,20.038,20.039,21.049,21.184,23.538,21.482,23.545,21.062,23.341,21.61,22.773
SPLUS-n15s20,177.14,-18.9,20.858,20.029,20.044,21.05,21.172,23.518,21.463,23.534,21.029,23.337,21.582,22.757
SPLUS-n15s21,178.57,-18.9,20.829,19.981,20.001,21.009,21.124,23.498,21.441,23.525,21.038,23.33,21.616,22.773
SPLUS-n15s22,180.0,-18.9,20.824,20.026,20.043,21.041,21.164,23.503,21.44,23.514,21.031,23.313,21.584,22.725
SPLUS-n15s31,192.86,-18.9,20.623,19.851,19.855,20.855,20.975,23.363,21.318,23.432,20.971,23.262,21.55,22.68
SPLUS-n15s32,194.29,-18.9,20.668,19.899,19.898,20.887,21.0,23.391,21.336,23.449,20.985,23.28,21.56,22.718
SPLUS-n15s33,195.71,-18.9,20.719,19.91,19.886,20.892,20.998,23.378,21.323,23.44,20.971,23.261,21.546,22.677
SPLUS-n16s01,151.2,-20.24,20.861,20.006,19.989,21.029,21.151,23.521,21.462,23.532,21.05,23.333,21.595,22.761
SPLUS-n16s02,152.64,-20.24,20.791,20.04,20.058,21.05,21.182,23.544,21.465,23.549,21.077,23.336,21.614,22.756
SPLUS-n16s03,154.08,-20.24,20.845,20.017,20.034,21.037,21.161,23.509,21.441,23.53,21.043,23.329,21.59,22.753
SPLUS-n16s04,155.52,-20.24,20.829,20.019,20.006,21.048,21.158,23.495,21.446,23.552,21.08,23.352,21.617,22.805
SPLUS-n16s05,156.96,-20.24,20.865,20.053,20.042,21.059,21.186,23.52,21.453,23.525,21.044,23.313,21.588,22.73
SPLUS-n16s06,158.4,-20.24,20.828,20.015,20.033,21.043,21.164,23.516,21.453,23.523,21.038,23.318,21.587,22.745
SPLUS-n16s07,159.84,-20.24,20.84,20.034,20.052,21.073,21.177,23.537,21.482,23.562,21.076,23.356,21.623,22.789
SPLUS-n16s08,161.28,-20.24,20.76,19.932,19.941,20.944,21.048,23.423,21.355,23.487,21.016,23.303,21.583,22.726
SPLUS-n16s09,162.72,-20.24,20.834,20.031,20.055,21.038,21.155,23.53,21.462,23.553,21.079,23.348,21.62,22.779
SPLUS-n16s10,164.16,-20.24,20.862,20.036,20.041,21.05,21.174,23.531,21.468,23.558,21.066,23.358,21.643,22.797
SPLUS-n16s11,165.6,-20.24,20.869,20.048,20.045,21.064,21.188,23.533,21.477,23.552,21.084,23.361,21.625,22.807
SPLUS-n16s12,167.04,-20.24,20.827,20.03,20.013,21.034,21.147,23.508,21.444,23.534,21.052,23.335,21.609,22.761
SPLUS-n16s13,168.48,-20.24,20.883,20.039,20.056,21.065,21.191,23.539,21.475,23.559,21.07,23.355,21.624,22.796
SPLUS-n16s14,169.92,-20.24,20.784,20.024,20.032,21.039,21.165,23.533,21.473,23.553,21.071,23.372,21.641,22.803
SPLUS-n16s15,171.36,-20.24,20.833,20.061,20.059,21.038,21.171,23.531,21.464,23.549,21.075,23.341,21.612,22.78
SPLUS-n16s16,172.8,-20.24,20.764,19.957,19.958,20.954,21.091,23.479,21.424,23.514,21.025,23.317,21.599,22.743
SPLUS-n16s17,174.24,-20.24,20.829,20.043,20.056,21.037,21.155,23.506,21.461,23.552,21.063,23.356,21.621,22.802
SPLUS-n16s18,175.68,-20.24,20.858,20.037,20.043,21.034,21.162,23.525,21.459,23.556,21.067,23.35,21.626,22.79
SPLUS-n16s19,177.12,-20.24,20.75,19.961,19.951,20.94,21.053,23.413,21.356,23.484,21.011,23.302,21.588,22.726
SPLUS-n16s20,178.56,-20.24,20.857,20.046,20.049,21.048,21.169,23.526,21.468,23.539,21.058,23.34,21.612,22.777
SPLUS-n16s21,180.0,-20.24,20.832,20.03,20.058,21.124,21.281,23.609,21.542,23.552,21.096,23.357,21.638,22.785
SPLUS-n17s01,150.97,-21.58,20.698,19.938,19.978,20.979,21.104,23.464,21.407,23.495,21.025,23.268,21.57,22.64
SPLUS-n17s02,152.42,-21.58,20.62,19.815,19.808,20.796,20.89,23.251,21.178,23.375,20.918,23.214,21.524,22.605
SPLUS-n17s03,153.87,-21.58,20.476,19.669,19.66,20.674,20.772,23.118,21.061,23.265,20.817,23.15,21.467,22.573
SPLUS-n17s04,155.32,-21.58,20.867,20.037,20.022,21.013,21.114,23.465,21.404,23.51,21.038,23.328,21.589,22.737
SPLUS-n17s05,156.78,-21.58,20.809,20.014,20.038,21.032,21.151,23.526,21.449,23.527,21.074,23.305,21.577,22.712
SPLUS-n17s06,158.23,-21.58,20.802,20.021,20.041,21.024,21.139,23.475,21.405,23.497,21.039,23.29,21.562,22.69
SPLUS-n17s07,159.68,-21.58,20.785,20.0,20.014,21.027,21.155,23.502,21.432,23.536,21.049,23.288,21.566,22.687
SPLUS-n17s08,161.13,-21.58,20.739,19.946,19.967,20.956,21.091,23.442,21.394,23.469,20.988,23.259,21.543,22.649
SPLUS-n17s09,162.58,-21.58,20.879,20.029,20.038,21.025,21.142,23.469,21.398,23.497,21.019,23.291,21.562,22.701
SPLUS-n17s10,164.03,-21.58,20.805,20.021,20.016,21.007,21.129,23.473,21.412,23.505,21.023,23.3,21.574,22.715
SPLUS-n17s11,165.48,-21.58,20.876,20.059,20.075,21.054,21.165,23.51,21.444,23.529,21.05,23.331,21.597,22.758
SPLUS-n17s12,166.94,-21.58,20.733,19.968,19.989,21.006,21.141,23.503,21.435,23.512,21.039,23.299,21.585,22.702
SPLUS-n17s13,168.39,-21.58,20.72,19.967,19.987,20.997,21.135,23.486,21.423,23.513,21.034,23.311,21.593,22.717
SPLUS-n17s14,169.84,-21.58,20.664,19.9,19.879,20.895,21.007,23.345,21.279,23.434,20.965,23.265,21.552,22.672
SPLUS-n17s15,171.29,-21.58,20.656,19.901,19.923,20.894,20.996,23.35,21.287,23.445,20.971,23.277,21.569,22.697
SPLUS-n17s16,172.74,-21.58,20.748,19.962,19.978,20.987,21.111,23.471,21.418,23.502,21.04,23.285,21.568,22.687
SPLUS-n17s17,174.19,-21.58,20.864,20.066,20.029,21.044,21.169,23.514,21.451,23.555,21.067,23.353,21.617,22.786
SPLUS-n17s18,175.65,-21.58,20.882,20.052,20.039,21.064,21.166,23.502,21.439,23.529,21.052,23.331,21.605,22.755
SPLUS-n17s19,177.1,-21.58,20.897,20.089,20.094,21.121,21.268,23.586,21.521,23.538,21.039,23.312,21.574,22.754
SPLUS-n17s20,178.55,-21.58,20.881,20.1,20.124,21.144,21.295,23.626,21.561,23.583,21.082,23.375,21.637,22.786
SPLUS-n17s21,180.0,-21.58,20.972,20.141,20.124,21.178,21.313,23.626,21.549,23.557,21.079,23.349,21.605,22.785
SPLUS-n17s51,223.55,-21.58,20.621,19.847,19.87,20.902,21.005,23.427,21.385,23.48,20.868,23.288,21.455,22.671
SPLUS-n18s01,150.73,-22.92,20.77,20.03,20.053,21.058,21.184,23.543,21.484,23.569,21.086,23.359,21.629,22.77
SPLUS-n18s02,152.2,-22.92,20.685,19.929,19.977,20.986,21.129,23.481,21.42,23.513,21.054,23.304,21.594,22.7
SPLUS-n18s03,153.66,-22.92,20.649,19.927,19.97,20.969,21.094,23.456,21.403,23.495,21.029,23.287,21.574,22.699
SPLUS-n18s04,155.12,-22.92,20.746,19.946,19.957,20.965,21.068,23.401,21.33,23.468,21.0,23.279,21.57,22.668
SPLUS-n18s05,156.58,-22.92,20.644,19.849,19.855,20.824,20.928,23.272,21.205,23.379,20.897,23.234,21.517,22.654
SPLUS-n18s06,158.05,-22.92,20.906,20.1,20.097,21.15,21.293,23.63,21.558,23.576,21.109,23.367,21.634,22.785
SPLUS-n18s07,159.51,-22.92,20.888,20.07,20.056,21.053,21.165,23.492,21.428,23.509,21.028,23.297,21.569,22.707
SPLUS-n18s08,160.98,-22.92,20.863,20.051,20.066,21.036,21.14,23.47,21.401,23.498,21.025,23.291,21.563,22.695
SPLUS-n18s09,162.44,-22.92,20.889,20.087,20.076,21.067,21.184,23.521,21.461,23.525,21.039,23.307,21.579,22.73
SPLUS-n18s10,163.9,-22.92,20.967,20.145,20.149,21.189,21.326,23.648,21.565,23.589,21.096,23.37,21.631,22.793
SPLUS-n18s11,165.37,-22.92,20.8,20.031,20.053,21.043,21.185,23.524,21.462,23.52,21.052,23.303,21.582,22.726
SPLUS-n18s12,166.83,-22.92,20.632,19.9,19.951,20.986,21.127,23.5,21.443,23.519,21.038,23.321,21.596,22.745
SPLUS-n18s13,168.29,-22.92,20.695,19.939,19.953,21.0,21.132,23.492,21.433,23.516,21.038,23.309,21.59,22.719
SPLUS-n18s14,169.75,-22.92,20.957,20.13,20.131,21.193,21.336,23.645,21.587,23.589,21.1,23.377,21.633,22.82
SPLUS-n18s15,171.22,-22.92,20.772,19.981,19.996,21.003,21.121,23.48,21.419,23.522,21.054,23.305,21.59,22.72
SPLUS-n18s16,172.68,-22.92,20.907,20.098,20.091,21.134,21.287,23.606,21.536,23.534,21.047,23.321,21.578,22.773
SPLUS-n18s17,174.15,-22.92,20.957,20.117,20.107,21.157,21.276,23.49,21.514,23.501,21.015,23.28,21.557,22.676
SPLUS-n18s18,175.61,-22.92,20.969,20.144,20.139,21.185,21.328,23.649,21.578,23.587,21.102,23.375,21.648,22.796
SPLUS-n18s19,177.08,-22.92,20.908,20.085,20.078,21.13,21.258,23.572,21.508,23.526,21.036,23.302,21.568,22.71
SPLUS-n18s20,178.54,-22.92,20.874,20.047,20.044,21.043,21.153,23.493,21.432,23.52,21.034,23.319,21.593,22.756
SPLUS-n18s21,180.0,-22.92,20.949,20.13,20.111,21.169,21.305,23.621,21.543,23.553,21.015,23.329,21.562,22.752
SPLUS-n18s32,196.1,-22.92,20.6,19.825,19.82,20.829,20.939,23.343,21.301,23.424,20.969,23.261,21.551,22.706
SPLUS-n18s33,197.56,-22.92,19.667,18.926,18.906,19.893,19.989,22.412,20.356,22.551,20.095,22.413,20.69,21.852
SPLUS-n18s51,223.9,-22.92,20.781,19.972,19.929,20.949,21.074,23.464,21.41,23.512,21.033,23.33,21.603,22.768
SPLUS-n19s01,165.0,-24.25,20.302,19.548,19.499,20.458,20.551,22.904,20.886,23.151,20.729,23.065,21.43,22.488
SPLUS-n19s02,166.48,-24.25,20.651,19.878,19.882,20.852,20.967,23.333,21.289,23.405,20.943,23.24,21.524,22.665
SPLUS-n19s03,167.95,-24.25,20.726,19.918,19.931,20.892,20.996,23.37,21.317,23.447,20.976,23.275,21.558,22.692
SPLUS-n19s04,169.43,-24.25,20.416,19.654,19.625,20.552,20.675,23.082,21.035,23.268,20.83,23.174,21.484,22.599
SPLUS-n19s05,170.9,-24.25,20.436,19.635,19.56,20.527,20.587,22.961,20.913,23.198,20.729,23.121,21.416,22.549
SPLUS-n19s06,172.38,-24.25,20.589,19.779,19.77,20.766,20.872,23.25,21.212,23.354,20.893,23.199,21.51,22.6
SPLUS-n19s07,173.85,-24.25,20.722,19.905,19.885,20.866,20.964,23.35,21.297,23.437,20.972,23.262,21.561,22.672
SPLUS-n19s08,175.33,-24.25,20.69,19.892,19.886,20.872,20.989,23.353,21.304,23.416,20.967,23.249,21.541,22.658
SPLUS-n19s09,176.8,-24.25,20.666,19.864,19.881,20.863,20.974,23.36,21.312,23.429,20.97,23.259,21.543,22.679
SPLUS-n19s10,178.28,-24.25,20.687,19.87,19.853,20.833,20.95,23.33,21.284,23.409,20.944,23.248,21.538,22.664
SPLUS-n19s11,179.75,-24.25,20.687,19.887,19.849,20.82,20.921,23.303,21.253,23.403,20.946,23.252,21.538,22.69
SPLUS-n19s22,195.98,-24.25,19.686,18.953,18.94,19.95,20.068,22.471,20.415,22.581,20.126,22.44,20.704,21.895
SPLUS-n19s23,197.45,-24.25,20.622,19.833,19.835,20.856,20.98,23.368,21.31,23.432,20.963,23.261,21.543,22.703
SPLUS-n19s29,206.3,-24.25,20.741,19.904,19.906,20.91,21.014,23.399,21.356,23.455,20.979,23.282,21.563,22.713
SPLUS-n20s01,165.0,-25.59,19.764,19.013,18.99,19.943,20.02,22.416,20.365,22.564,20.114,22.429,20.704,21.877
SPLUS-n20s02,166.49,-25.59,19.737,18.989,18.991,19.956,20.054,22.443,20.39,22.571,20.112,22.431,20.7,21.872
SPLUS-n20s03,167.98,-25.59,19.854,19.066,19.043,20.019,20.101,22.485,20.426,22.597,20.136,22.453,20.715,21.906
SPLUS-n20s23,197.73,-25.59,19.714,18.977,18.971,19.964,20.071,22.485,20.43,22.597,20.143,22.446,20.716,21.896
SPLUS-n20s25,200.7,-25.59,20.753,19.938,19.937,20.924,21.038,23.408,21.356,23.463,20.994,23.288,21.564,22.732
SPLUS-n20s34,214.09,-25.59,20.864,20.053,20.013,21.027,21.136,23.512,21.457,23.54,21.063,23.347,21.613,22.779
SPLUS-n20s35,215.58,-25.59,20.87,20.037,20.028,21.021,21.139,23.508,21.452,23.54,21.056,23.348,21.617,22.769
SPLUS-n20s40,223.01,-25.59,20.81,20.008,19.97,21.006,21.131,23.51,21.446,23.544,21.053,23.354,21.623,22.782
SPLUS-s02s01,324.68,-1.36,20.538,19.799,19.863,20.872,21.014,23.427,21.368,23.49,21.043,23.317,21.62,22.785
SPLUS-s02s02,326.04,-1.36,20.8,20.008,20.008,20.993,21.105,23.487,21.429,23.524,21.05,23.33,21.604,22.745
SPLUS-s02s03,327.4,-1.36,20.737,19.957,19.975,20.985,21.113,23.495,21.436,23.524,21.059,23.332,21.603,22.752
SPLUS-s02s04,328.75,-1.36,20.73,19.977,19.987,20.982,21.126,23.498,21.447,23.536,21.056,23.361,21.628,22.828
SPLUS-s02s05,330.11,-1.36,20.771,20.018,20.031,21.014,21.133,23.508,21.463,23.55,21.061,23.37,21.632,22.836
SPLUS-s02s06,331.47,-1.36,20.698,19.949,19.987,20.977,21.119,23.508,21.444,23.532,21.05,23.355,21.61,22.822
SPLUS-s02s07,332.83,-1.36,20.747,19.991,19.996,20.983,21.121,23.49,21.443,23.529,21.05,23.341,21.611,22.771
SPLUS-s02s08,334.19,-1.36,20.73,19.945,19.947,20.994,21.149,23.517,21.462,23.543,21.06,23.364,21.61,22.823
SPLUS-s02s09,335.55,-1.36,20.743,19.954,19.976,20.979,21.119,23.5,21.436,23.53,21.045,23.352,21.6,22.819
SPLUS-s02s10,336.9,-1.36,20.727,19.958,19.968,20.976,21.11,23.482,21.434,23.53,21.056,23.344,21.607,22.817
SPLUS-s02s11,338.26,-1.36,20.768,19.992,20.005,20.985,21.105,23.479,21.411,23.524,21.06,23.329,21.614,22.757
SPLUS-s02s12,339.62,-1.36,20.764,19.972,19.981,20.953,21.084,23.453,21.397,23.518,21.04,23.325,21.602,22.742
SPLUS-s02s13,340.98,-1.36,20.809,20.017,20.033,21.006,21.117,23.488,21.426,23.529,21.049,23.354,21.605,22.761
SPLUS-s02s15,343.7,-1.36,20.742,19.951,19.977,20.94,21.055,23.447,21.386,23.515,21.037,23.344,21.607,22.786
SPLUS-s02s16,345.06,-1.36,20.788,20.018,20.017,20.995,21.103,23.478,21.413,23.522,21.052,23.344,21.603,22.769
SPLUS-s02s17,346.42,-1.36,19.796,19.026,18.977,19.93,20.013,22.433,20.386,22.574,20.121,22.441,20.712,21.87
SPLUS-s02s19,349.13,-1.36,20.766,19.997,20.005,20.979,21.095,23.476,21.42,23.526,21.054,23.346,21.612,22.782
SPLUS-s02s20,350.49,-1.36,20.754,19.961,19.95,20.924,21.018,23.4,21.346,23.487,21.021,23.32,21.589,22.75
SPLUS-s02s21,351.85,-1.36,20.712,19.945,19.925,20.927,21.057,23.445,21.401,23.515,21.055,23.351,21.616,22.785
SPLUS-s02s22,353.21,-1.36,20.813,20.002,20.011,20.991,21.098,23.467,21.409,23.531,21.046,23.337,21.604,22.773
SPLUS-s02s23,354.57,-1.36,20.717,19.942,19.949,20.932,21.061,23.439,21.386,23.509,21.032,23.33,21.593,22.774
SPLUS-s02s24,355.93,-1.36,20.755,19.97,19.954,20.924,21.021,23.395,21.338,23.493,21.023,23.355,21.599,22.779
SPLUS-s02s25,357.28,-1.36,20.803,20.037,20.004,21.0,21.127,23.488,21.421,23.526,21.053,23.34,21.606,22.78
SPLUS-s02s26,358.64,-1.36,20.797,19.996,19.979,20.964,21.079,23.465,21.416,23.519,21.054,23.336,21.611,22.777
SPLUS-s03s01,324.68,-2.72,20.74,19.977,19.981,20.979,21.096,23.481,21.418,23.519,21.052,23.338,21.608,22.78
SPLUS-s03s03,327.4,-2.72,20.8,19.991,20.0,20.983,21.1,23.478,21.42,23.533,21.053,23.352,21.617,22.784
SPLUS-s03s04,328.75,-2.72,20.666,19.923,19.936,20.927,21.032,23.423,21.383,23.497,21.008,23.333,21.593,22.768
SPLUS-s03s05,330.11,-2.72,20.669,19.888,19.878,20.882,20.973,23.365,21.315,23.454,20.995,23.315,21.574,22.742
SPLUS-s13s46,347.35,-16.22,20.884,20.137,20.102,21.173,21.33,23.647,21.578,23.603,21.115,23.384,21.638,22.807
SPLUS-s16s22,315.36,-20.24,20.707,19.914,19.927,20.947,21.079,23.444,21.394,23.485,21.005,23.303,21.566,22.751
SPLUS-s17s22,315.0,-21.58,20.83,20.002,20.03,21.024,21.138,23.5,21.435,23.544,21.065,23.34,21.601,22.765
SPLUS-s17s23,316.45,-21.58,20.788,19.988,19.984,21.017,21.147,23.501,21.451,23.522,21.038,23.337,21.601,22.806
SPLUS-s17s30,326.61,-21.58,20.799,20.055,20.04,21.102,21.257,23.525,21.481,23.436,20.964,23.256,21.57,22.698
SPLUS-s18s22,316.1,-22.92,20.755,19.945,20.002,20.966,21.069,23.393,21.273,23.511,21.037,23.351,21.601,22.813
SPLUS-s18s23,317.56,-22.92,20.843,20.05,20.049,21.028,21.14,23.507,21.444,23.533,21.053,23.344,21.601,22.776
SPLUS-s18s28,324.88,-22.92,20.963,20.153,20.142,20.971,21.275,23.65,21.579,23.592,21.104,23.367,21.628,22.805
SPLUS-s19s22,315.55,-24.25,20.205,20.165,20.196,21.193,21.338,23.658,21.596,23.597,21.112,23.382,21.635,22.834
SPLUS-s19s23,317.04,-24.25,20.84,20.041,20.033,21.027,21.123,23.483,21.429,23.539,21.067,23.35,21.613,22.809
SPLUS-s19s24,318.52,-24.25,20.853,20.052,20.051,21.019,21.135,23.496,21.44,23.416,20.965,23.251,21.557,22.68
SPLUS-s19s33,331.85,-24.25,20.827,19.956,20.008,20.979,21.059,23.415,21.371,23.423,20.95,23.215,21.599,22.636
SPLUS-s19s34,333.33,-24.25,20.725,19.907,19.91,20.899,21.032,23.41,21.367,23.485,21.017,23.325,21.596,22.774
SPLUS-s20s22,315.19,-25.59,20.77,20.047,19.997,21.01,21.141,23.506,21.436,23.541,21.044,23.341,21.603,22.804
SPLUS-s20s23,316.68,-25.59,20.763,19.971,19.937,20.991,21.112,23.471,21.403,23.513,21.036,23.324,21.585,22.785
SPLUS-s20s24,318.18,-25.59,20.809,20.037,20.042,21.021,21.144,23.502,21.439,23.531,21.056,23.333,21.601,22.752
SPLUS-s20s25,319.67,-25.59,20.852,20.044,20.036,21.031,21.142,23.518,21.461,23.536,21.045,23.359,21.606,22.812
SPLUS-s20s32,330.13,-25.59,20.853,20.05,20.026,21.006,21.113,23.479,21.424,23.542,21.062,23.353,21.615,22.821
SPLUS-s20s33,331.62,-25.59,20.802,20.003,19.993,20.992,21.105,23.473,21.414,23.522,21.048,23.351,21.606,22.795
SPLUS-s20s34,333.11,-25.59,20.796,20.008,19.999,21.0,21.117,23.484,21.416,23.523,21.068,23.337,21.558,22.791
SPLUS-s20s35,334.6,-25.59,20.796,20.017,19.999,20.999,21.125,23.482,21.428,23.533,21.056,23.356,21.621,22.809
SPLUS-s20s38,339.09,-25.59,20.586,19.918,19.955,20.978,21.097,23.48,21.418,23.535,21.053,23.356,21.619,22.815
SPLUS-s21s10,13.61,-26.92,20.976,20.16,20.152,21.194,21.317,23.649,21.578,23.617,21.144,23.405,21.66,22.834
SPLUS-s21s21,316.13,-26.92,20.826,20.043,20.047,21.029,21.155,23.522,21.465,23.551,21.065,23.353,21.621,22.797
SPLUS-s21s22,317.65,-26.92,20.21,19.421,19.449,20.476,20.609,22.904,20.807,22.808,20.312,22.582,20.833,22.002
SPLUS-s21s23,319.16,-26.92,20.854,20.08,20.08,21.037,21.171,23.524,21.464,23.547,21.06,23.354,21.619,22.788
SPLUS-s21s24,320.67,-26.92,20.781,19.968,20.001,21.01,21.125,23.49,21.421,23.531,21.043,23.344,21.601,22.796
SPLUS-s21s31,331.26,-26.92,20.809,20.011,20.037,21.01,21.125,23.494,21.446,23.535,21.07,23.352,21.616,22.794
SPLUS-s21s32,332.78,-26.92,20.822,20.024,20.017,21.006,21.097,23.478,21.406,23.534,21.061,23.362,21.61,22.8
SPLUS-s21s33,334.29,-26.92,20.853,20.062,20.051,21.025,21.129,23.499,21.437,23.541,21.067,23.357,21.622,22.802
SPLUS-s22s10,13.79,-28.25,19.959,19.144,19.109,20.04,20.114,22.499,20.446,22.605,20.151,22.456,20.725,21.87
SPLUS-s22s15,21.45,-28.25,20.845,20.04,20.018,20.998,21.1,23.462,21.413,23.505,21.032,23.302,21.574,22.713
SPLUS-s22s17,24.51,-28.25,20.842,20.017,19.991,20.986,21.107,23.478,21.407,23.512,21.04,23.33,21.603,22.742
SPLUS-s22s19,27.58,-28.25,20.803,20.01,19.983,20.982,21.077,23.427,21.379,23.481,20.999,23.282,21.564,22.682
SPLUS-s22s20,29.11,-28.25,20.863,20.054,20.012,20.985,21.081,23.434,21.366,23.509,21.037,23.342,21.604,22.779
SPLUS-s22s21,315.58,-28.25,20.969,20.165,20.145,21.183,21.323,23.646,21.577,23.592,21.106,23.379,21.633,22.813
SPLUS-s22s22,317.11,-28.25,20.173,19.418,19.446,20.491,20.63,22.908,20.807,22.804,20.302,22.581,20.83,22.034
SPLUS-s22s23,318.64,-28.25,20.165,19.402,19.413,20.426,20.574,22.871,20.776,22.793,20.297,22.567,20.823,22.001
SPLUS-s22s24,320.17,-28.25,20.852,20.092,20.031,21.04,21.192,23.519,21.45,23.539,21.056,23.349,21.609,22.777
SPLUS-s22s32,332.43,-28.25,20.826,20.041,20.045,21.015,21.125,23.488,21.433,23.551,21.069,23.338,21.606,22.761
SPLUS-s22s33,333.96,-28.25,20.822,20.014,19.989,21.013,21.114,23.481,21.419,23.533,21.053,23.347,21.607,22.795
SPLUS-s22s34,335.49,-28.25,20.895,20.091,20.066,21.055,21.166,23.513,21.454,23.542,21.059,23.342,21.606,22.758
SPLUS-s23s01,0.02,-29.58,21.033,20.209,20.211,21.211,21.345,23.659,21.589,23.611,21.123,23.397,21.658,22.854
SPLUS-s23s02,1.55,-29.58,20.87,20.051,20.053,21.023,21.136,23.504,21.445,23.54,21.057,23.346,21.613,22.765
SPLUS-s23s03,3.1,-29.58,20.869,20.064,20.05,21.037,21.14,23.495,21.432,23.518,21.048,23.318,21.557,22.741
SPLUS-s23s04,4.65,-29.58,20.244,19.458,19.447,20.446,20.57,22.875,20.789,22.804,20.307,22.581,20.83,21.999
SPLUS-s23s05,6.21,-29.58,20.883,20.052,19.857,20.89,20.901,23.222,21.202,23.165,20.284,22.755,20.938,22.077
SPLUS-s23s06,7.76,-29.58,20.902,19.958,19.617,20.607,20.875,23.408,21.395,23.529,21.059,23.353,21.615,22.785
SPLUS-s23s08,10.86,-29.58,20.829,20.036,20.027,20.998,21.105,23.464,21.416,23.516,21.041,23.328,21.598,22.771
SPLUS-s23s09,12.41,-29.58,20.842,20.035,20.021,20.999,21.104,23.477,21.414,23.534,21.059,23.35,21.617,22.79
SPLUS-s23s10,13.97,-29.58,20.795,19.988,19.989,20.96,21.061,23.436,21.372,23.498,21.026,23.307,21.58,22.714
SPLUS-s23s11,15.52,-29.58,20.897,20.064,20.049,21.048,21.158,23.518,21.449,23.548,21.063,23.352,21.605,22.781
SPLUS-s23s12,17.07,-29.58,20.807,20.006,19.982,20.95,21.049,23.418,21.366,23.479,21.009,23.288,21.568,22.686
SPLUS-s23s13,18.62,-29.58,20.6,19.791,19.734,20.742,20.842,23.226,21.192,23.376,20.924,23.243,21.546,22.688
SPLUS-s23s14,20.17,-29.58,20.847,20.041,19.996,20.999,21.096,23.457,21.402,23.507,21.045,23.328,21.595,22.756
SPLUS-s23s15,21.73,-29.58,20.864,20.047,20.015,21.005,21.094,23.448,21.402,23.519,21.048,23.351,21.621,22.793
SPLUS-s23s16,23.28,-29.58,20.719,19.913,19.911,20.893,21.01,23.379,21.343,23.477,21.004,23.302,21.586,22.745
SPLUS-s23s17,24.83,-29.58,20.87,20.062,20.042,21.033,21.143,23.5,21.438,23.532,21.064,23.335,21.598,22.762
SPLUS-s23s18,26.38,-29.58,20.876,20.069,20.044,21.031,21.14,23.496,21.437,23.532,21.053,23.339,21.608,22.76
SPLUS-s23s19,27.93,-29.58,20.878,20.061,20.04,21.024,21.131,23.499,21.448,23.543,21.06,23.36,21.621,22.793
SPLUS-s23s20,29.48,-29.58,20.863,20.065,20.034,21.021,21.127,23.49,21.442,23.536,21.061,23.341,21.607,22.772
SPLUS-s23s21,315.0,-29.58,20.912,20.137,20.125,21.17,21.311,23.638,21.57,23.603,21.118,23.401,21.646,22.858
SPLUS-s23s22,316.55,-29.58,20.991,20.179,20.163,21.19,21.333,23.65,21.579,23.604,21.119,23.396,21.643,22.849
SPLUS-s23s23,318.1,-29.58,20.985,20.176,20.194,21.181,21.306,23.621,21.552,23.601,21.111,23.39,21.654,22.823
SPLUS-s23s24,319.65,-29.58,20.981,20.178,20.156,21.2,21.343,23.657,21.582,23.606,21.116,23.392,21.642,22.831
SPLUS-s23s25,321.21,-29.58,20.859,20.062,20.053,21.027,21.141,23.5,21.441,23.54,21.058,23.362,21.611,22.813
SPLUS-s23s26,322.76,-29.58,21.007,20.168,20.165,21.214,21.344,23.665,21.598,23.612,21.12,23.407,21.652,22.833
SPLUS-s23s27,324.31,-29.58,20.864,20.059,20.046,21.051,21.146,23.517,21.451,23.554,21.055,23.361,21.617,22.771
SPLUS-s23s28,325.86,-29.58,21.005,20.19,20.172,21.196,21.325,23.652,21.584,23.608,21.119,23.396,21.65,22.84
SPLUS-s23s29,327.41,-29.58,19.877,19.111,19.072,19.993,20.079,22.477,20.433,22.588,20.131,22.443,20.714,21.86
SPLUS-s23s30,328.97,-29.58,19.917,19.127,19.094,20.021,20.109,22.495,20.447,22.608,20.151,22.461,20.73,21.892
SPLUS-s23s31,330.52,-29.58,19.945,19.146,19.074,20.04,20.125,22.498,20.448,22.628,20.168,22.468,20.726,21.896
SPLUS-s23s32,332.07,-29.58,20.868,20.047,20.067,21.031,21.138,23.495,21.434,23.545,21.057,23.337,21.609,22.763
SPLUS-s23s33,333.62,-29.58,21.003,20.179,20.162,21.193,21.314,23.641,21.587,23.611,21.127,23.413,21.655,22.865
SPLUS-s23s34,335.17,-29.58,20.892,20.081,20.063,21.049,21.162,23.509,21.456,23.54,21.058,23.339,21.604,22.745
SPLUS-s23s35,336.73,-29.58,20.872,20.055,20.04,21.04,21.147,23.513,21.438,23.537,21.059,23.338,21.601,22.762
